TCGA-2V-A95S	TTC4
TCGA-2Y-A9GS	C10orf90
TCGA-2Y-A9GT	DIAPH1
TCGA-2Y-A9GU	NEIL1
TCGA-2Y-A9GU	TIPARP
TCGA-2Y-A9H1	KL
TCGA-2Y-A9H1	POLQ
TCGA-2Y-A9H3	CABLES1
TCGA-2Y-A9H3	HUS1B
TCGA-2Y-A9H3	MAD1L1
TCGA-2Y-A9H7	ASPSCR1
TCGA-2Y-A9HA	ERCC6
TCGA-4R-AA8I	FRK
TCGA-5C-A9VG	BAP1
TCGA-5C-A9VG	RAD54L
TCGA-5R-AA1D	ALDH2
TCGA-5R-AAAM	APEX1
TCGA-BC-4073	FAM175A
TCGA-BC-4073	POLQ
TCGA-BC-A10R	ARL11
TCGA-BC-A10R	SMUG1
TCGA-BC-A10S	SPINT2
TCGA-BC-A10T	GJB2
TCGA-BC-A10T	MPO
TCGA-BC-A10U	CABLES1
TCGA-BC-A10W	ALKBH2
TCGA-BC-A10W	SYNM
TCGA-BC-A10X	SMYD4
TCGA-BC-A10Y	FAM166A
TCGA-BC-A112	CHEK2
TCGA-BC-A112	DCLRE1A
TCGA-BC-A216	MPO
TCGA-BC-A3KF	EXTL1
TCGA-BC-A3KF	MAP3K6
TCGA-BC-A3KF	TRIP11
TCGA-BC-A5W4	MED23
TCGA-BC-A5W4	MPL
TCGA-BC-A69H	PTPRK
TCGA-BC-A69H	PTPRK
TCGA-BC-A69I	GNPTAB
TCGA-BC-A69I	ITGB3
TCGA-BC-A69I	SETDB1
TCGA-BC-A8YO	POLQ
TCGA-BD-A2L6	DFNA5
TCGA-BD-A2L6	MYO1A
TCGA-BD-A2L6	TNKS
TCGA-BW-A5NO	BANP
TCGA-BW-A5NO	EXTL2
TCGA-BW-A5NO	SMUG1
TCGA-BW-A5NO	USP6
TCGA-BW-A5NQ	UNG
TCGA-CC-5259	APEX2
TCGA-CC-5261	EPHA10
TCGA-CC-5261	PEG3
TCGA-CC-5262	PARP3
TCGA-CC-5262	PPP2R1B
TCGA-CC-5264	SLC44A3
TCGA-CC-A123	CD1D
TCGA-CC-A3MB	DMBT1
TCGA-CC-A3MC	BARD1
TCGA-CC-A5UC	PARP15
TCGA-CC-A5UD	DNAJB4
TCGA-CC-A5UD	HAT1
TCGA-CC-A5UD	PARP2
TCGA-CC-A7IF	CASP10
TCGA-CC-A7IH	AZGP1
TCGA-CC-A7IH	CEACAM1
TCGA-CC-A7IH	ZNF180
TCGA-CC-A7IK	ALKBH3
TCGA-CC-A7IL	IGFBP7
TCGA-CC-A7IL	SBDS
TCGA-CC-A9FU	WDR11
TCGA-CC-A9FV	MLF1
TCGA-CC-A9FV	TAP1
TCGA-DD-A115	PAEP
TCGA-DD-A116	TFPI2
TCGA-DD-A116	WRAP53
TCGA-DD-A118	SBDS
TCGA-DD-A11A	LTF
TCGA-DD-A11C	GJB2
TCGA-DD-A1EA	BUB1B
TCGA-DD-A1EA	TNFRSF17
TCGA-DD-A1EB	ARL11
TCGA-DD-A1EB	FAM166A
TCGA-DD-A1EB	MYO1A
TCGA-DD-A1EB	ODAM
TCGA-DD-A1ED	MST1R
TCGA-DD-A1ED	RECQL5
TCGA-DD-A1EF	ATP8A2
TCGA-DD-A1EG	POLQ
TCGA-DD-A1EI	SCGB3A1
TCGA-DD-A1EJ	CLP1
TCGA-DD-A1EJ	MPO
TCGA-DD-A1EJ	POLQ
TCGA-DD-A1EJ	SERPINI2
TCGA-DD-A1EJ	SERPINI2
TCGA-DD-A1EJ	SERPINI2
TCGA-DD-A1EK	ADPRH
TCGA-DD-A1EK	KANK1
TCGA-DD-A1EK	NEIL1
TCGA-DD-A1EK	PMS1
TCGA-DD-A1EL	NEIL3
TCGA-DD-A39V	ARHGAP20
TCGA-DD-A39Y	KDM5B
TCGA-DD-A39Z	ARHGAP20
TCGA-DD-A39Z	TNFRSF10C
TCGA-DD-A3A1	GTF2H3
TCGA-DD-A3A2	FAT1
TCGA-DD-A3A2	TET2
TCGA-DD-A3A2	TIMELESS
TCGA-DD-A3A3	GLTSCR2
TCGA-DD-A3A3	PMS1
TCGA-DD-A3A4	GJB2
TCGA-DD-A3A4	PRKAR1A
TCGA-DD-A3A4	TIMP3
TCGA-DD-A3A5	RAD51B
TCGA-DD-A3A6	ELN
TCGA-DD-A3A9	ERBB3
TCGA-DD-A4NA	FAM166A
TCGA-DD-A4NA	GTF2H3
TCGA-DD-A4NE	KANK1
TCGA-DD-A4NF	KLHL6
TCGA-DD-A4NJ	FANCL
TCGA-DD-A4NK	MYO1A
